"","variable","Periodo","mes","Adeudos / Pasivo Total (%)","Cartera de Alto Riesgo / Créditos Directos (%)","Créditos Atrasados / Créditos Directos (%)","Créditos Atrasados M.E. / Créditos Directos M.E. (%)","Créditos Atrasados M.N. / Créditos Directos M.N. (%)","Créditos Directos / Empleados (Miles S/.)","Créditos Directos / Número de Oficinas (Miles S/.)","Depósitos/ Créditos Directos (%)","Gastos de Administración Anualizados/ Créditos Directos e Indirectos Promedio (%)","Gastos de Operación Anualizados / Margen Financiero Total Anualizado(%)","Ingresos Financieros Anualizados / Activo Productivo Promedio (%)","Pasivo Total / Capital Social y Reservas ( Nº de veces )","Posición Global en M.E. / Patrimonio Efectivo ( %)","Provisiones / Créditos Atrasados (%)","Ratio de Capital Global","Ratio de Liquidez en M.E. (%) (promedio del mes)","Ratio de Liquidez en M.N. (%) (promedio del mes)","Utilidad Neta Anualizada sobre Activo Promedio (%)","Ratio de Capital Global"
"1","CMAC.Arequipa","2014","Enero",4.89,7.24,6.22,3.45,6.51,979.73,25069.08,98.46,8.4,55.29,19.85,9.65,-1.01,146.41,15.07,46.83,30.48,2.39,20.43
"2","CMAC.Cusco","2014","Enero",4.38,5.85,4.79,8.39,4.5,1090.85,22650.03,95.37,7.86,55.75,17.19,5.95,0.05,127.02,15.99,46.47,25.85,2.87,16.65
"3","CMAC.Del.Santa","2014","Enero",1.03,21.18,17.49,33.48,16.84,606.51,12410.08,120.38,12.57,77.06,20.43,7.01,5.09,104.87,12.98,77.42,45.57,-0.49,-4.38
"4","CMAC.Huancayo","2014","Enero",7.45,4.68,3.93,2.25,3.99,997.59,19513.54,92.08,9.7,59.26,18.96,7.57,-0.51,149.55,15.41,84.02,44.09,2.91,20.42
"5","CMAC.Ica","2014","Enero",4.1,8.53,7.75,5.19,7.8,958.8,17510.74,114.08,9.49,62.71,18.66,8.78,0.85,128.05,14.35,141.29,52.47,1.02,9.34
"6","CMAC.Maynas","2014","Enero",8.45,10.72,7.3,3.77,7.64,723.58,22379.31,106.24,10.63,66.86,20.21,7.31,-0.35,133.73,15.8,121.1,60.5,0.88,6.87
"7","CMAC.Paita","2014","Enero",0.2,15.31,11.69,4.43,11.73,698.53,14369.66,105.51,11.77,77.09,22.22,6.54,-4.33,99.87,10.99,104.19,32.66,-0.19,-1.63
"8","CMAC.Pisco","2014","Enero",0,11.94,9.65,84.49,8.92,439.4,9139.53,117.12,20.08,90.61,28.98,11.6,-1.41,109.36,11.18,112.9,24.63,-3.36,-32.97
"9","CMAC.Piura","2014","Enero",1.9,8.23,5.82,3.14,6.11,821.51,17443.66,116.84,11.3,68.33,18.9,9.25,-0.13,123.68,13.48,88.01,37.91,1.42,12.84
"10","CMAC.Sullana","2014","Enero",6.81,9.28,6.22,5.56,6.25,890.33,17116.83,102.68,10.43,60.62,20.32,7.5,0.21,139.68,13.33,76.51,34.22,1.24,9.97
"11","CMAC.Tacna","2014","Enero",10.05,7.36,6.33,3.37,6.89,1059.28,25574.08,85.69,8.46,63.46,18.04,7.48,-0.19,120.96,16.13,32.35,28.04,0.95,7.05
"12","CMAC Trujillo","2014","Enero",5.55,8.59,6.15,8.06,6.08,851.37,20977.21,112.14,10.9,63.33,17.81,5.57,-0.09,153.48,17.85,77.92,53.23,1.58,9.72
"13","Total.CMAC","2014","Enero",5.04,7.84,6.13,4.54,6.26,915.44,20231.9,103.05,9.66,61.24,19.03,7.69,-0.26,135.07,15.02,67.53,37.53,1.8,13.72
"14","CMCP.Lima","2014","Enero",12.57,15.13,11.94,12.68,11.8,1066.68,12904.23,120.17,10.62,77.34,16.42,7.34,-0.46,85.14,14,158.66,55.76,-0.09,-0.68
