"","variables","R. Cr�dito","R. Mercado","R. Operacional","Total","Patrimonio Efectivo","R. Capital Global","Periodo","Mes","Fecha"
"1","B. Continental",1886614.07,63995.61,69766.05,2020375.73,2790347.39,13.12,"2009","Julio",2009-07-31
"2","B. De Comercio  ",94509.19,272.33,5012.13,99793.65,122498.51,11.66,"2009","Julio",2009-07-31
"3","B. De Crédito del Perú (con sucursales en el exterior)",3002185.69,249147.26,121336.38,3372669.33,5037288.15,14.19,"2009","Julio",2009-07-31
"4","B. Financiero",223448.48,10655.34,12079.99,246183.81,334247.53,12.9,"2009","Julio",2009-07-31
"5","B. Interamericano de Finanzas",253121.03,12288.84,10409.07,275818.94,368492.31,12.69,"2009","Julio",2009-07-31
"6","Scotiabank Perú (con sucursales en el exterior)",1410918.22,24813.88,55267.27,1490999.37,2054774.42,13.09,"2009","Julio",2009-07-31
"7","Citibank",235876.47,30099.82,24774.19,290750.48,464187.42,15.17,"2009","Julio",2009-07-31
"8","Interbank",974364.72,32672.1,35087.73,1042124.55,1378401.05,12.57,"2009","Julio",2009-07-31
"9","Mibanco",256706.48,996.29,26546.19,284248.96,362899.14,12.13,"2009","Julio",2009-07-31
"10","HSBC Bank Perú",155121.9,2262.25,2327.17,159711.32,236332.28,14.06,"2009","Julio",2009-07-31
"11","B. Falabella Perú ",101833.74,86.58,19523.26,121443.58,177162.83,13.86,"2009","Julio",2009-07-31
"12","B. Santander Perú",36987.69,391.81,670.94,38050.44,81241.93,20.28,"2009","Julio",2009-07-31
"13","B. Ripley",77676.08,55.62,2506.6,80238.3,155706.15,18.44,"2009","Julio",2009-07-31
"14","B. Azteca Perú",17879.81,35.12,8619.59,26534.52,34278.98,12.27,"2009","Julio",2009-07-31
"15","Deutsche Bank Perú",12632.93,2076.85,2367.95,17077.73,105622.78,58.76,"2009","Julio",2009-07-31
"16"," TOTAL BANCA MÚLTIPLE",8739876.5,429849.7,396294.51,9566020.71,13703480.87,13.6089,"2009","Julio",2009-07-31
"17","B. Continental",1850946.26,58476.04,70228.7,1979651,2774223.52,13.31,"2009","Agosto",2009-08-31
"18","B. de Comercio  ",93376.7,525.17,5071.22,98973.09,123836.63,11.89,"2009","Agosto",2009-08-31
"19","B. de Crédito del Perú (con sucursales en el exterior)",3014763.83,248023.44,121546.71,3384333.98,5042000.15,14.15,"2009","Agosto",2009-08-31
"20","B. Financiero",229754.16,3296.64,12264.55,245315.35,332141.5,12.86,"2009","Agosto",2009-08-31
"21","B. Interamericano de Finanzas",254468.92,9495.55,10530.13,274494.6,372213.85,12.88,"2009","Agosto",2009-08-31
"22","Scotiabank Perú (con sucursales en el exterior)",1391240.69,22704.28,55510.86,1469455.83,2042772.96,13.21,"2009","Agosto",2009-08-31
"23","Citibank",232301.69,46319.25,24895.54,303516.48,463778.82,14.52,"2009","Agosto",2009-08-31
"24","Interbank",990737.17,35382.55,35543.17,1061662.89,1378290.78,12.33,"2009","Agosto",2009-08-31
"25","Mibanco",263896.53,854.94,27327.39,292078.86,371581.29,12.09,"2009","Agosto",2009-08-31
"26","HSBC Bank Perú",158679.74,1656.61,2456.33,162792.68,233575.52,13.63,"2009","Agosto",2009-08-31
"27","B. Falabella Perú ",98780.83,142.07,19787.1,118710,176990.61,14.16,"2009","Agosto",2009-08-31
"28","B. Santander Perú",37415.56,814.44,739.93,38969.93,81577.2,19.89,"2009","Agosto",2009-08-31
"29","B. Ripley",74672.88,484.37,2494.04,77651.29,155310.99,19,"2009","Agosto",2009-08-31
"30","B. Azteca Perú",17872.41,42.71,9189.5,27104.62,35523.84,12.45,"2009","Agosto",2009-08-31
"31","Deutsche Bank Perú",11387.68,1480.35,2354.17,15222.2,105622.78,65.92,"2009","Agosto",2009-08-31
"32"," TOTAL BANCA MÚLTIPLE",8720295.05,429698.41,399939.34,9549932.8,13689440.44,13.6179,"2009","Agosto",2009-08-31
"61","B. Continental",1799909.84,69200.34,70759.72,1939869.9,2755662.06,13.5,"2009","Septiembre",2009-09-30
"71","B. de Comercio  ",94627.15,619.71,5134.1,100380.96,125334.82,11.86,"2009","Septiembre",2009-09-30
"81","B. de Crédito del Perú (con sucursales en el exterior)",2927441.9,245807.01,121089.71,3294338.62,5015335.43,14.46,"2009","Septiembre",2009-09-30
"91","B. Financiero",230357.89,5685.13,12448.54,248491.56,326802.75,12.49,"2009","Septiembre",2009-09-30
"101","B. Interamericano de Finanzas",253589.43,518.56,10705.33,264813.32,390440.35,14.01,"2009","Septiembre",2009-09-30
"111","Scotiabank Perú (con sucursales en el exterior)",1374099.19,23262.4,56001.88,1453363.47,1931406.28,12.62,"2009","Septiembre",2009-09-30
"121","Citibank",230890.7,36851.14,24857.25,292599.09,462105.01,15,"2009","Septiembre",2009-09-30
"131","Interbank",1009038.64,25223.73,36200.44,1070462.81,1372451.27,12.18,"2009","Septiembre",2009-09-30
"141","Mibanco",269366.6,1008.34,28099.25,298474.19,371104.99,11.81,"2009","Septiembre",2009-09-30
"151","HSBC Bank Perú",164088.22,1869.55,2580.68,168538.45,226546.52,12.77,"2009","Septiembre",2009-09-30
"161","B. Falabella Perú ",96495.96,469.63,20051.23,117016.82,176878.38,14.36,"2009","Septiembre",2009-09-30
"171","B. Santander Perú",37669.86,602.37,798.47,39070.7,81824.92,19.9,"2009","Septiembre",2009-09-30
"181","B. Ripley",72555.25,698.66,2488.25,75742.16,155085.18,19.45,"2009","Septiembre",2009-09-30
"191","B. Azteca Perú",18255.77,65.01,9660.92,27981.7,39513.58,13.42,"2009","Septiembre",2009-09-30
"201","Deutsche Bank Perú",9041.19,4879.02,2407.23,16327.44,105622.78,61.46,"2009","Septiembre",2009-09-30
"211"," TOTAL BANCA MÚLTIPLE",8587427.59,416760.6,403283,9407471.19,13536114.32,13.6693,"2009","Septiembre",2009-09-30
"62","B. Continental",1806050.66,70127.04,71474.4,1947652.1,2758451.97,13.45,"2009","Octubre",2009-10-31
"72","B. de Comercio  ",94059.29,360.6,5196.92,99616.81,124984.12,11.92,"2009","Octubre",2009-10-31
"82","B. de Crédito del Perú (con sucursales en el exterior)",3006710.82,185729.34,122948.95,3315389.11,4726332.68,13.54,"2009","Octubre",2009-10-31
"92","B. Financiero",234029.89,8346.7,12576.27,254952.86,320525.19,11.94,"2009","Octubre",2009-10-31
"102","B. Interamericano de Finanzas",258393.78,468.79,10874.84,269737.41,396518.19,13.97,"2009","Octubre",2009-10-31
"112","Scotiabank Perú (con sucursales en el exterior)",1351832.06,26384.21,56398.26,1434614.53,1914433.46,12.68,"2009","Octubre",2009-10-31
"122","Citibank",233187.24,39542.47,25049.97,297779.68,453000.86,14.45,"2009","Octubre",2009-10-31
"132","Interbank",1033946.04,26017.03,36735.76,1096698.83,1372473.89,11.89,"2009","Octubre",2009-10-31
"142","Mibanco",267736.5666,999.4626,28938.2456,297674.2748,371437.5388,11.8541,"2009","Octubre",2009-10-31
"152","HSBC Bank Perú",171811.46,3126.73,1976.59,176914.78,225459.42,12.11,"2009","Octubre",2009-10-31
"162","B. Falabella Perú ",98146.03,528.78,20326.82,119001.63,177224.26,14.15,"2009","Octubre",2009-10-31
"172","B. Santander Perú",37856.42,826.93,951.23,39634.58,82086.29,19.68,"2009","Octubre",2009-10-31
"182","B. Ripley",72348.23,574.85,2473.29,75396.37,155020.99,19.53,"2009","Octubre",2009-10-31
"192","B. Azteca Perú",18569.99,16.51,10059,28645.5,40976.6,13.59,"2009","Octubre",2009-10-31
"202","Deutsche Bank Perú",7312.12,5512.09,2426.06,15250.27,105622.78,65.8,"2009","Octubre",2009-10-31
"212"," TOTAL BANCA MÚLTIPLE",8691990.5966,368561.5326,408406.6056,9468958.7348,13224548.2388,13.2679,"2009","Octubre",2009-10-31
"63","B. Continental",1830804.3,64904.85,71652.55,1967361.7,2757683.02,13.32,"2009","Noviembre",2009-11-30
"73","B. de Comercio  ",96672.6,455.88,5221.6,102350.08,125625.64,11.66,"2009","Noviembre",2009-11-30
"83","B. de Crédito del Perú (con sucursales en el exterior)",3119498.82,186172.14,123948.41,3429619.37,5452534.2,15.1,"2009","Noviembre",2009-11-30
"93","B. Financiero",235760.94,5759.54,12740.18,254260.66,320789.65,11.99,"2009","Noviembre",2009-11-30
"103","B. Interamericano de Finanzas",254237.95,172.2,11014.59,265424.74,395051.91,14.14,"2009","Noviembre",2009-11-30
"113","Scotiabank Perú (con sucursales en el exterior)",1381393.5,33137.48,56835.15,1471366.13,1895587.07,12.24,"2009","Noviembre",2009-11-30
"123","Citibank",234642.73,43225.55,25036.89,302905.17,452560.48,14.19,"2009","Noviembre",2009-11-30
"133","Interbank",1039621.62,22488.36,37132.51,1099242.49,1370914.95,11.85,"2009","Noviembre",2009-11-30
"143","Mibanco",273096.34,613.39,29781.77,303491.5,398202.15,12.46,"2009","Noviembre",2009-11-30
"153","HSBC Bank Perú",179976.5,2767.96,2074.4,184818.86,225933.39,11.61,"2009","Noviembre",2009-11-30
"163","B. Falabella Perú ",98197.03,623.75,20564.76,119385.54,178110.5,14.17,"2009","Noviembre",2009-11-30
"173","B. Santander Perú",44007.07,717.53,1003.8,45728.4,117479.43,24.41,"2009","Noviembre",2009-11-30
"183","B. Ripley",73653.66,475.18,2467.55,76596.39,152239.3,18.88,"2009","Noviembre",2009-11-30
"193","B. Azteca Perú",18745.11,138.38,10390.3,29273.79,42280.9,13.72,"2009","Noviembre",2009-11-30
"203","Deutsche Bank Perú",19971.47,6484.21,2407.42,28863.1,105622.78,34.76,"2009","Noviembre",2009-11-30
