Fecha,Valor Cuota,Patrimonio,Nº Partícipes,Nº de Cuotas,Rentabilidad.Anual,Rentabilidad.B,Rentabilidad.Acumulada
16/01/2010,99.903226,"170,526.52",2,598.87,,,
17/01/2010,99.806537,"170,361.49",2,598.87,,,-0.000967827
18/01/2010,99.806407,"170,385.17",2,598.87,,,-0.000969128
19/01/2010,99.806274,"201,989.69",3,709.29,,,-0.000970459
20/01/2010,99.969596,"202,376.97",3,709.29,,,0.000664343
21/01/2010,99.969807,"202,143.40",3,709.29,,,0.000666455
22/01/2010,99.971071,"367,724.39",7,"1,289.45",,,0.000679107
23/01/2010,99.972326,"367,728.96",7,"1,289.45",,,0.000691669
24/01/2010,99.973582,"367,733.56",7,"1,289.45",,,0.000704242
25/01/2010,99.991381,"367,618.48",7,"1,289.45",,,0.000882404
26/01/2010,99.992637,"368,100.14",7,"1,289.45",,,0.000894976
27/01/2010,99.993894,"368,981.52",7,"1,289.45",,,0.000907558
28/01/2010,99.99515,"368,663.77",7,"1,289.45",,,0.00092013
29/01/2010,99.996406,"371,682.96",8,"1,301.45",,,0.000932703
30/01/2010,99.997663,"371,687.61",8,"1,301.45",,,0.000945285
31/01/2010,99.998915,"371,692.23",8,"1,301.45",,,0.000957817
01/02/2010,99.995434,"371,222.82",8,"1,301.45",,,0.000922973
02/02/2010,99.996572,"370,823.24",8,"1,301.45",,,0.000934364
03/02/2010,99.993547,"386,321.44",9,"1,354.41",,,0.000904085
04/02/2010,99.994778,"399,897.99",10,"1,398.42",,,0.000916407
05/02/2010,99.996022,"386,300.34",9,"1,348.40",,,0.000928859
06/02/2010,99.997273,"386,305.12",9,"1,348.40",,,0.000941381
07/02/2010,99.998519,"386,309.91",9,"1,348.40",,,0.000953853
08/02/2010,99.999759,"390,355.68",9,"1,358.90",,,0.000966265
09/02/2010,100.001063,"389,042.60",10,"1,358.90",,,0.000979318
10/02/2010,100.002361,"388,490.47",10,"1,358.90",,,0.00099231
11/02/2010,100.00361,"387,598.38",10,"1,358.90",,,0.001004812
12/02/2010,100.004851,"424,045.76",13,"1,484.90",,,0.001017234
13/02/2010,100.006095,"424,050.99",13,"1,484.90",,,0.001029686
14/02/2010,100.007341,"424,056.24",13,"1,484.90",,,0.001042159
15/02/2010,100.008588,"429,546.96",13,"1,504.89",,,0.001054641
16/02/2010,100.009837,"428,754.60",14,"1,504.89",,,0.001067143
17/02/2010,100.01108,"629,022.03",15,"2,208.79",,,0.001079585
18/02/2010,100.012322,"638,288.83",16,"2,238.79",,,0.001092017
19/02/2010,100.013562,"638,363.90",16,"2,238.79",,,0.001104429
20/02/2010,100.014804,"638,371.80",16,"2,238.79",,,0.001116861
21/02/2010,100.016046,"638,379.70",16,"2,238.79",,,0.001129293
22/02/2010,100.017288,"652,370.38",16,"2,289.11",,,0.001141725
23/02/2010,100.018529,"731,095.97",19,"2,564.06",,,0.001154147
24/02/2010,100.019771,"730,438.22",19,"2,564.06",,,0.001166579
25/02/2010,100.02101,"738,137.46",20,"2,589.06",,,0.001178981
26/02/2010,100.022252,"737,369.71",20,"2,589.06",,,0.001191413
27/02/2010,100.023496,"737,378.85",20,"2,589.06",,,0.001203865
28/02/2010,100.024739,"737,387.99",20,"2,589.06",,,0.001216307
01/03/2010,100.023677,"736,501.99",20,"2,589.06",,,0.001205677
02/03/2010,100.024937,"736,537.13",20,"2,589.06",,,0.001218289
03/03/2010,100.026195,"736,287.39",20,"2,589.06",,,0.001230881
04/03/2010,100.024443,"736,093.19",20,"2,589.06",,,0.001213344
05/03/2010,100.025705,"735,506.81",20,"2,589.06",,,0.001225976
06/03/2010,100.026964,"735,516.04",20,"2,589.06",,,0.001238579
07/03/2010,100.028223,"735,525.26",20,"2,589.06",,,0.001251181
08/03/2010,100.029483,"738,838.54",20,"2,601.05",,,0.001263793
09/03/2010,100.03074,"742,171.36",22,"2,611.65",,,0.001276375
10/03/2010,100.031996,"741,684.26",22,"2,611.65",,,0.001288947
11/03/2010,100.034846,"799,290.87",28,"2,815.31",,,0.001317475
12/03/2010,100.036103,"804,665.08",29,"2,835.10",,,0.001330057
13/03/2010,100.037361,"804,675.15",29,"2,835.10",,,0.001342649
14/03/2010,100.038616,"804,685.23",29,"2,835.10",,,0.001355211
15/03/2010,100.03987,"808,300.24",29,"2,846.10",,,0.001367764
16/03/2010,100.041128,"921,952.98",31,"3,248.41",,,0.001380356
17/03/2010,100.042383,"938,754.85",32,"3,308.39",,,0.001392918
18/03/2010,100.043638,"943,267.35",33,"3,322.26",,,0.00140548
19/03/2010,100.044896,"914,758.88",32,"3,222.26",,,0.001418072
20/03/2010,100.046195,"914,770.72",32,"3,222.26",,,0.001431075
21/03/2010,100.047492,"914,782.55",32,"3,222.26",,,0.001444057
22/03/2010,100.048789,"914,858.86",32,"3,222.26",,,0.00145704
23/03/2010,100.050088,"1,056,090.43",33,"3,722.01",,,0.001470043
24/03/2010,100.051383,"1,091,456.43",38,"3,846.47",,,0.001483005
25/03/2010,100.052639,"1,092,008.86",38,"3,846.47",,,0.001495577
26/03/2010,100.053894,"1,092,407.37",38,"3,846.47",,,0.001508139
27/03/2010,100.05515,"1,092,421.05",38,"3,846.47",,,0.001520712
28/03/2010,100.056406,"1,092,434.73",38,"3,846.47",,,0.001533284
29/03/2010,100.05766,"1,138,465.70",38,"4,006.37",,,0.001545836
30/03/2010,100.058916,"1,148,785.68",40,"4,043.35",,,0.001558408
31/03/2010,100.06017,"1,175,265.43",42,"4,133.30",,,0.00157096
01/04/2010,100.061425,"1,175,280.14",42,"4,133.30",,,0.001583522
02/04/2010,100.062678,"1,175,294.84",42,"4,133.30",,,0.001596065
03/04/2010,100.063931,"1,175,309.53",42,"4,133.30",,,0.001608607
04/04/2010,100.065184,"1,175,324.22",42,"4,133.30",,,0.001621149
05/04/2010,100.063408,"1,179,407.49",42,"4,153.29",,,0.001603372
06/04/2010,100.064662,"1,180,129.74",44,"4,155.48",,,0.001615924
07/04/2010,100.065263,"1,187,849.25",44,"4,184.26",,,0.00162194
08/04/2010,100.066527,"1,184,651.25",44,"4,174.27",,,0.001634592
09/04/2010,100.06779,"1,278,167.31",47,"4,504.05",,,0.001647234
10/04/2010,100.069046,"1,278,183.33",47,"4,504.05",,,0.001659806
11/04/2010,100.070303,"1,278,199.36",47,"4,504.05",,,0.001672388
12/04/2010,100.07156,"1,309,139.34",47,"4,614.48",,,0.001684971
13/04/2010,100.072816,"1,309,248.08",49,"4,614.48",,,0.001697543
14/04/2010,100.074181,"1,624,006.21",51,"5,724.98",,,0.001711206
15/04/2010,100.065647,"1,623,982.32",51,"5,724.98",,,0.001625783
16/04/2010,100.058706,"1,754,871.27",53,"6,184.21",,,0.001556306
17/04/2010,100.050174,"1,754,721.62",53,"6,184.21",,,0.001470903
18/04/2010,100.04164,"1,754,571.98",53,"6,184.21",,,0.001385481
19/04/2010,100.300944,"1,898,964.64",53,"6,673.25",,,0.003981033
20/04/2010,100.451628,"1,902,353.77",58,"6,673.25",,,0.005489332
21/04/2010,101.025299,"1,967,860.96",62,"6,856.11",,,0.011231599
22/04/2010,102.222456,"2,187,146.83",63,"7,517.64",,,0.023214766
23/04/2010,103.324855,"2,335,290.67",66,"7,952.10",,,0.034249435
24/04/2010,103.31511,"2,335,070.40",66,"7,952.10",,,0.03415189
25/04/2010,103.305363,"2,334,850.13",66,"7,952.10",,,0.034054326
26/04/2010,103.2045,"2,335,278.79",66,"7,952.10",,,0.033044719
27/04/2010,101.889753,"2,523,489.78",72,"8,698.98",,,0.019884513
28/04/2010,102.36928,"2,601,817.94",73,"8,929.49",,,0.024684428
29/04/2010,102.712085,"2,613,467.07",74,"8,945.51",,,0.028115799
30/04/2010,101.89887,"2,886,955.73",76,"9,946.84",,,0.019975771
01/05/2010,101.889184,"2,886,681.33",76,"9,946.84",,,0.019878818
02/05/2010,101.8795,"2,886,406.96",76,"9,946.84",,,0.019781884
03/05/2010,101.832346,"2,986,806.63",76,"10,310.62",,,0.019309887
04/05/2010,99.144598,"2,911,244.45",78,"10,310.62",,,-0.007593629
05/05/2010,98.881648,"2,933,649.51",79,"10,411.75",,,-0.010225676
06/05/2010,97.56893,"2,905,798.58",80,"10,445.06",,,-0.023365572
07/05/2010,96.882313,"2,878,783.28",79,"10,415.08",,,-0.030238393
08/05/2010,96.976387,"2,881,578.64",79,"10,415.08",,,-0.029296742
09/05/2010,96.966939,"2,881,297.91",79,"10,415.08",,,-0.029391313
10/05/2010,100.643762,"3,104,397.51",79,"10,842.73",,,0.007412533
11/05/2010,101.324034,"3,125,270.87",79,"10,842.73",,,0.014221843
12/05/2010,102.275846,"3,275,201.58",81,"11,282.14",,,0.023749183
13/05/2010,101.800777,"3,306,725.98",82,"11,449.13",,,0.018993891
14/05/2010,100.110974,"3,256,421.96",82,"11,449.13",,,0.002079492
15/05/2010,100.101223,"3,256,104.75",82,"11,449.13",,,0.001981888
16/05/2010,100.091472,"3,255,787.58",82,"11,449.13",,,0.001884283
17/05/2010,98.209113,"3,195,569.93",82,"11,449.13",,,-0.01695754
18/05/2010,98.499986,"3,217,092.29",83,"11,499.89",,,-0.014045993
19/05/2010,96.830871,"3,169,036.12",83,"11,499.89",,,-0.030753311
20/05/2010,93.841444,"3,106,193.55",84,"11,606.45",,,-0.060676539
21/05/2010,96.649956,"3,028,444.54",84,"11,018.80",,,-0.032564214
22/05/2010,96.640455,"3,028,146.86",84,"11,018.80",,,-0.032659316
23/05/2010,96.630956,"3,027,849.20",84,"11,018.80",,,-0.032754398
24/05/2010,96.819247,"3,035,776.06",84,"11,018.80",,,-0.030869664
25/05/2010,95.239191,"2,870,487.82",84,"10,578.33",,,-0.046685529
26/05/2010,95.977538,"2,803,533.73",83,"10,265.08",,,-0.039294907
27/05/2010,97.95179,"2,855,940.53",82,"10,240.09",,,-0.019533263
28/05/2010,97.534566,"2,843,176.43",82,"10,240.09",,,-0.023709545
29/05/2010,97.524954,"2,842,896.22",82,"10,240.09",,,-0.023805758
30/05/2010,97.515342,"2,842,616.05",82,"10,240.09",,,-0.023901971
31/05/2010,97.46033,"2,878,114.61",82,"10,384.76",,,-0.024452624
01/06/2010,96.074115,"2,837,976.19",83,"10,384.76",,,-0.038328202
02/06/2010,96.461788,"2,906,522.19",84,"10,592.10",,,-0.034447716
03/06/2010,95.869152,"3,006,517.72",85,"11,019.20",,,-0.040379817
04/06/2010,93.495316,"2,935,987.61",85,"11,019.20",,,-0.064141172
05/06/2010,93.486147,"2,935,699.66",85,"11,019.20",,,-0.064232951
06/06/2010,93.476978,"2,935,411.75",85,"11,019.20",,,-0.06432473
07/06/2010,91.819744,"2,875,499.15",85,"10,989.50",,,-0.080913123
08/06/2010,92.810683,"2,904,390.30",84,"10,989.50",,,-0.070994134
09/06/2010,94.366232,"3,350,744.74",85,"12,480.36",,,-0.055423576
10/06/2010,95.871328,"3,484,254.75",86,"12,772.11",,,-0.040358036
11/06/2010,96.127695,"3,562,034.36",87,"13,026.98",,,-0.037791883
12/06/2010,96.118436,"3,561,691.28",87,"13,026.98",,,-0.037884562
13/06/2010,96.109178,"3,561,348.23",87,"13,026.98",,,-0.037977232
14/06/2010,96.463802,"3,606,085.64",87,"13,151.38",,,-0.034427557
15/06/2010,97.938107,"3,647,476.42",87,"13,120.08",,,-0.019670226
16/06/2010,97.778426,"3,626,713.32",87,"13,069.47",,,-0.021268582
17/06/2010,97.749168,"3,625,121.37",88,"13,081.93",,,-0.021561446
18/06/2010,97.791409,"3,619,651.79",88,"13,081.93",,,-0.021138627
19/06/2010,97.781833,"3,619,297.35",88,"13,081.93",,,-0.021234479
20/06/2010,97.772259,"3,618,943.00",88,"13,081.93",,,-0.021330312
21/06/2010,98.473567,"3,645,018.19",88,"13,097.16",,,-0.014310439
22/06/2010,97.776806,"3,707,975.64",89,"13,416.90",,,-0.021284798
23/06/2010,97.523599,"3,705,557.43",90,"13,435.35",,,-0.023819321
24/06/2010,96.788861,"3,691,404.43",90,"13,491.84",,,-0.031173818
25/06/2010,97.258509,"3,704,289.55",90,"13,476.42",,,-0.026472789
26/06/2010,97.248984,"3,703,926.78",90,"13,476.42",,,-0.026568131
27/06/2010,97.23946,"3,703,564.06",90,"13,476.42",,,-0.026663463
28/06/2010,96.866167,"3,689,346.42",90,"13,476.42",,,-0.030400009
29/06/2010,97.039218,"3,695,937.42",90,"13,476.42",,,-0.028667823
30/06/2010,95.675279,"3,655,494.84",92,"13,521.36",,,-0.042320425
01/07/2010,94.907513,"3,626,160.47",92,"13,521.36",,,-0.050005522
02/07/2010,94.774377,"3,619,920.42",92,"13,521.36",,,-0.051338172
03/07/2010,94.765106,"3,619,566.31",92,"13,521.36",,,-0.051430972
04/07/2010,94.755835,"3,619,212.22",92,"13,521.36",,,-0.051523772
05/07/2010,94.57466,"3,610,374.04",92,"13,521.36",,,-0.053337277
06/07/2010,94.568476,"3,617,193.30",93,"13,542.51",,,-0.053399177
07/07/2010,94.950464,"3,630,518.28",93,"13,542.51",,,-0.049575596
08/07/2010,95.292634,"3,668,685.87",94,"13,637.19",,,-0.046150582
09/07/2010,95.956081,"3,686,211.84",93,"13,603.75",,,-0.039509685
10/07/2010,95.946714,"3,685,852.01",93,"13,603.75",,,-0.039603446
11/07/2010,95.937348,"3,685,492.22",93,"13,603.75",,,-0.039697197
12/07/2010,95.661663,"3,696,858.53",93,"13,688.42",,,-0.042456717
13/07/2010,96.49534,"3,706,657.14",95,"13,688.42",,,-0.034111871
14/07/2010,96.499009,"3,746,670.18",96,"13,792.05",,,-0.034075146
15/07/2010,96.30049,"3,747,462.76",96,"13,792.05",,,-0.036062259
16/07/2010,95.269975,"3,710,250.09",96,"13,792.05",,,-0.046377391
17/07/2010,95.260681,"3,709,888.12",96,"13,792.05",,,-0.046470421
18/07/2010,95.251387,"3,709,526.19",96,"13,792.05",,,-0.046563451
19/07/2010,94.708112,"3,687,062.37",96,"13,792.05",,,-0.052001464
20/07/2010,94.685163,"3,689,041.89",96,"13,792.05",,,-0.052231176
21/07/2010,94.527346,"3,683,740.12",96,"13,788.87",,,-0.053810875
22/07/2010,96.049065,"3,738,671.19",96,"13,788.87",,,-0.038578944
23/07/2010,96.648409,"3,761,600.59",96,"13,788.87",,,-0.032579699
24/07/2010,96.638961,"3,761,232.87",96,"13,788.87",,,-0.03267427
