Fecha,Valor Cuota,Patrimonio,Nº Partícipes,Nº de Cuotas,Rentabilidad.Anual,Rentabilidad.B,Rentabilidad.Acumulada
29/01/2013,100,"2,562.60",1,10,,,
30/01/2013,100,"2,560.10",1,10,,,0
31/01/2013,100,"2,581.30",1,10,,,0
01/02/2013,100,"2,571.10",1,10,,,0
02/02/2013,100,"2,571.10",1,10,,,0
03/02/2013,100,"2,571.10",1,10,,,0
04/02/2013,100,"2,577.50",1,10,,,0
05/02/2013,100,"2,576.20",1,10,,,0
06/02/2013,100,"5,153.80",2,20,,,0
07/02/2013,100,"5,158.60",2,20,,,0
08/02/2013,100,"5,158.60",2,20,,,0
09/02/2013,100,"5,158.60",2,20,,,0
10/02/2013,100,"5,158.60",2,20,,,0
11/02/2013,100,"5,158.60",2,20,,,0
12/02/2013,100,"69,603.30",3,270,,,0
13/02/2013,100,"69,406.20",3,270,,,0
14/02/2013,100,"210,494.00",4,820,,,0
15/02/2013,100,"210,756.40",4,820,,,0
16/02/2013,100.008646,"210,774.62",4,820,,,8.646E-05
17/02/2013,100.017293,"210,792.84",4,820,,,0.00017293
18/02/2013,100.025927,"211,253.95",4,820,,,0.00025927
19/02/2013,100.034622,"211,887.53",4,820,,,0.00034622
20/02/2013,100.043366,"211,889.64",4,820,,,0.00043366
21/02/2013,100.052122,"212,154.32",4,820,,,0.00052122
22/02/2013,100.063012,"524,238.79",5,"2,029.24",,,0.00063012
23/02/2013,100.075588,"524,304.67",5,"2,029.24",,,0.00075588
24/02/2013,100.088164,"524,370.56",5,"2,029.24",,,0.00088164
25/02/2013,100.100741,"1,301,911.13",7,"5,036.21",,,0.00100741
26/02/2013,100.110228,"1,692,426.47",8,"6,544.96",,,0.00110228
27/02/2013,100.117846,"1,690,589.46",9,"6,544.96",,,0.00117846
28/02/2013,100.124879,"2,342,135.95",10,"9,041.84",,,0.00124879
01/03/2013,100.133052,"2,349,841.84",10,"9,041.84",,,0.00133052
02/03/2013,100.141225,"2,350,033.64",10,"9,041.84",,,0.00141225
03/03/2013,100.149399,"2,350,225.47",10,"9,041.84",,,0.00149399
04/03/2013,100.157574,"2,357,786.35",12,"9,061.81",,,0.00157574
05/03/2013,100.165457,"2,364,442.92",14,"9,101.74",,,0.00165457
06/03/2013,100.173577,"2,387,107.98",15,"9,174.80",,,0.00173577
07/03/2013,100.181631,"2,392,814.80",16,"9,174.80",,,0.00181631
08/03/2013,100.189686,"2,404,266.73",19,"9,221.51",,,0.00189686
09/03/2013,100.197878,"2,404,463.31",19,"9,221.51",,,0.00197878
10/03/2013,100.20607,"2,404,659.91",19,"9,221.51",,,0.0020607
11/03/2013,100.214264,"2,494,122.48",21,"9,580.74",,,0.00214264
12/03/2013,100.222315,"2,845,139.91",24,"10,952.69",,,0.00222315
13/03/2013,100.229669,"2,864,928.20",28,"11,022.53",,,0.00229669
14/03/2013,100.237324,"2,897,244.55",29,"11,148.17",,,0.00237324
15/03/2013,100.244627,"3,735,907.46",34,"14,375.28",,,0.00244627
16/03/2013,100.251571,"3,736,166.25",35,"14,375.28",,,0.00251571
17/03/2013,100.258515,"3,736,425.05",35,"14,375.28",,,0.00258515
18/03/2013,100.265461,"3,874,958.68",37,"14,873.95",,,0.00265461
19/03/2013,100.272172,"3,964,322.69",54,"15,232.96",,,0.00272172
20/03/2013,100.278212,"4,222,462.71",56,"16,240.16",,,0.00278212
21/03/2013,100.281747,"4,320,933.93",61,"16,615.10",,,0.00281747
22/03/2013,100.285181,"4,334,382.56",63,"16,684.90",,,0.00285181
23/03/2013,100.287914,"4,334,500.71",63,"16,684.90",,,0.00287914
24/03/2013,100.290647,"4,334,618.83",63,"16,684.90",,,0.00290647
25/03/2013,100.287677,"4,328,633.97",63,"16,684.90",,,0.00287677
26/03/2013,100.283638,"4,324,945.82",63,"16,684.90",,,0.00283638
27/03/2013,100.279598,"4,532,332.39",67,"17,451.24",,,0.00279598
28/03/2013,100.275543,"4,532,149.11",67,"17,451.24",,,0.00275543
29/03/2013,100.271488,"4,531,965.84",67,"17,451.24",,,0.00271488
30/03/2013,100.267432,"4,531,782.55",67,"17,451.24",,,0.00267432
31/03/2013,100.263378,"4,531,599.30",67,"17,451.24",,,0.00263378
01/04/2013,100.260699,"4,560,143.20",69,"17,560.95",,,0.00260699
02/04/2013,100.263095,"4,635,790.24",71,"17,873.92",,,0.00263095
03/04/2013,100.104476,"4,682,830.13",73,"18,093.69",,,0.00104476
04/04/2013,100.184339,"4,687,472.45",73,"18,093.69",,,0.00184339
05/04/2013,100.044531,"4,676,586.60",73,"18,093.69",,,0.00044531
06/04/2013,100.040311,"4,676,389.35",73,"18,093.69",,,0.00040311
07/04/2013,100.036091,"4,676,192.09",73,"18,093.69",,,0.00036091
08/04/2013,100.145128,"4,669,873.45",73,"18,093.69",,,0.00145128
