Fecha,Valor Cuota,Patrimonio,Nº Partícipes,Nº de Cuotas,Tipo Cambio
04/06/1996,10.295,"2,660,244.00",51,0,2.415
05/06/1996,10.298,"2,800,362.00",55,0,2.4255
06/06/1996,10.298,"2,972,911.00",60,0,2.433
09/06/1996,10.298,"2,972,911.00",60,0,2.432
10/06/1996,10.298,"3,165,772.00",60,0,2.4315
11/06/1996,10.317,"3,313,258.00",72,0,2.4415
12/06/1996,10.32,"3,377,960.00",76,0,2.449
13/06/1996,10.327,"3,540,927.00",78,0,2.45
16/06/1996,10.34,"3,885,182.00",81,0,2.443
17/06/1996,10.343,"3,906,355.00",82,0,2.4405
18/06/1996,10.343,"4,208,144.00",86,0,2.441
19/06/1996,10.344,"4,213,516.00",87,0,2.441
20/06/1996,10.328,"4,218,218.00",87,0,2.4475
23/06/1996,10.357,"4,368,007.00",91,0,2.444
24/06/1996,10.35,"4,378,697.00",92,0,2.449
25/06/1996,10.35,"4,503,065.00",94,0,2.4495
26/06/1996,10.3733,"4,489,267.00",94,0,2.4515
27/06/1996,10.3758,"4,496,805.00",94,0,2.445
30/06/1996,10.4054,"4,528,364.00",95,0,2.442
01/07/1996,10.4109,"4,618,193.00",98,0,2.4455
02/07/1996,10.4181,"4,711,074.00",101,0,2.4475
03/07/1996,10.4206,"4,970,155.00",101,0,2.4475
04/07/1996,10.4154,"5,099,430.00",103,0,2.4465
05/07/1996,10.4181,"5,138,342.00",103,0,2.444
06/07/1996,10.4207,"5,139,615.00",103,0,2.444
07/07/1996,10.4232,"5,140,887.00",105,0,2.444
08/07/1996,10.4258,"5,200,765.00",107,0,2.443
09/07/1996,10.4284,"5,202,044.00",107,0,2.443
10/07/1996,10.4433,"5,255,560.00",108,0,2.4475
11/07/1996,10.4199,"5,313,458.00",111,0,2.446
12/07/1996,10.4218,"5,352,337.00",111,0,2.444
13/07/1996,10.4245,"5,356,238.00",111,0,2.444
14/07/1996,10.4269,"5,357,696.00",116,0,2.444
15/07/1996,10.4303,"5,400,676.00",117,0,2.443
16/07/1996,10.4386,"5,403,864.00",117,0,2.4425
17/07/1996,10.4402,"5,419,373.00",117,0,2.442
18/07/1996,10.4416,"5,444,106.00",120,0,2.441
19/07/1996,10.4796,"5,481,429.00",124,0,2.4395
20/07/1996,10.4823,"5,652,579.00",130,0,2.4395
21/07/1996,10.4849,"5,654,003.00",130,0,2.4395
22/07/1996,10.5018,"6,242,498.00",130,0,2.4385
23/07/1996,10.5242,"6,402,052.00",134,0,2.436
24/07/1996,10.5383,"6,473,651.00",135,0,2.4415
25/07/1996,10.5762,"6,521,086.00",136,0,2.4465
29/07/1996,10.5881,"6,973,866.00",137,0,2.4405
30/07/1996,10.5895,"8,165,535.00",140,0,2.4495
