Fecha,Valor Cuota,Patrimonio,Nº Partícipes,Nº de Cuotas,Rentabilidad.Anual,Rentabilidad.B,Rentabilidad.Acumulada
19/02/2008,10,"5,000.00",2,500,,,
20/02/2008,10.00096,"19,000.48",5,"1,899.87",,,9.6E-05
21/02/2008,10.001918,"21,002.30",6,"2,099.83",,,0.0001918
22/02/2008,10.002875,"30,794.31",8,"3,078.55",,,0.0002875
23/02/2008,10.003953,"30,797.63",8,"3,078.55",,,0.0003953
24/02/2008,10.005029,"30,800.94",8,"3,078.55",,,0.0005029
25/02/2008,10.006107,"40,804.26",9,"4,077.94",,,0.0006107
26/02/2008,10.007161,"40,808.56",9,"4,077.94",,,0.0007161
27/02/2008,10.00825,"41,813.00",10,"4,177.85",,,0.000825
28/02/2008,10.009334,"54,760.53",15,"5,470.95",,,0.0009334
29/02/2008,10.010393,"58,066.32",18,"5,800.60",,,0.0010393
01/03/2008,10.011474,"58,072.59",18,"5,800.60",,,0.0011474
02/03/2008,10.012556,"58,078.87",18,"5,800.60",,,0.0012556
03/03/2008,10.013327,"60,083.34",19,"6,000.34",,,0.0013327
04/03/2008,10.014414,"65,089.86",20,"6,499.62",,,0.0014414
05/03/2008,10.01552,"76,225.05",23,"7,610.69",,,0.001552
06/03/2008,10.016344,"105,233.38",27,"10,506.17",,,0.0016344
07/03/2008,10.017454,"292,707.04",29,"29,219.70",,,0.0017454
08/03/2008,10.018466,"337,436.62",32,"33,681.46",,,0.0018466
09/03/2008,10.019472,"337,470.48",32,"33,681.46",,,0.0019472
10/03/2008,10.020477,"339,504.33",33,"33,881.06",,,0.0020477
11/03/2008,10.021567,"340,541.28",34,"33,980.84",,,0.0021567
12/03/2008,10.022658,"345,578.35",35,"34,479.71",,,0.0022658
13/03/2008,10.023748,"348,615.92",36,"34,779.00",,,0.0023748
14/03/2008,10.024852,"348,654.31",36,"34,779.00",,,0.0024852
15/03/2008,10.02597,"360,503.22",39,"35,956.94",,,0.002597
16/03/2008,10.027084,"360,543.27",39,"35,956.94",,,0.0027084
17/03/2008,10.028207,"364,479.85",40,"36,345.46",,,0.0028207
18/03/2008,10.029288,"365,519.12",40,"36,445.17",,,0.0029288
