,variable,Créditos Atrasados / Créditos Directos,Créditos Directos / Personal ( S/. Miles ),Créditos Refinanciados y Reestructurados / Créditos Directos,Depósitos / Número de Oficinas ( S/. Miles ),Gastos de Administración Anualizado / Activo Productivo Promedio ,Gastos de Operación / Margen Financiero Total,Ingresos Financieros / Ingresos Totales,Ingresos Financieros Anualizados / Activo Productivo Promedio ,Pasivo Total / Capital Social y Reservas ( N° de veces ),Provisiones / Créditos Atrasados ,Ratio de Capital Global,Ratio de Liquidez M.E. (Promedio de saldos del mes),Ratio de Liquidez M.N. (Promedio de saldos del mes),Utilidad Anualizada / Activo Promedio,Utilidad Anualizada / Patrimonio Promedio,Periodo,mes
1,CrediScotia,7.57,943,2.06,20777.16,12.51,50.44,90.33,27.42,7.96,159.74,17.09,98.94,26.57,2.22,15.27,2014,Enero
2,TFC,5.31,694,5.07,14961.14,13.73,121.14,94.03,23.57,5.96,95.05,13.78,63.47,34.64,-1.64,-10.47,2014,Enero
3,Edyficar,3.96,615,0.36,7924.53,9.25,54.49,99.01,22.7,14.22,160.79,17.01,41.1,41.52,3.7,38.59,2014,Enero
4,Compartamos Financiera,5.16,466,0.45,2859.81,13.44,61.17,100,29.44,8.73,134.25,13.87,38,16.97,2.34,18.5,2014,Enero
5,Confianza,2.92,569,0.89,5296.82,14.52,73.33,96.37,26.4,6.77,149.21,17.12,63.78,29.37,0.2,1.26,2014,Enero
6,Financiera Efectiva,4.03,251,0,787.27,27,57.23,97.56,55.09,4.57,220.15,18.86,0,31.55,5.55,22.05,2014,Enero
7,Financiera Universal,5.95,418,2.49,7520.35,14.51,89.26,94.14,26.12,4.59,127.03,18.65,93.65,29.67,-0.27,-1.65,2014,Enero
8,Financiera Uno,5.24,170,2.49,632.47,51.66,75.18,92.4,53.14,1.28,180.13,34,29.28,12.46,-12.03,-26.89,2014,Enero
9,America Financiera,0,0,0,0,5.86,206.47,100,7.1,0.26,0,127.84,0,0,-1.32,-3.3,2014,Enero
10,Mitsui.Auto.Finance,8.75,3538,0,0,7.75,43.2,89.14,17.33,3.94,81.18,19.68,35.06,27.46,2.87,12.2,2014,Enero
11,Proempresa,5.05,443,1.11,1432.92,14.22,71.81,99.43,26.69,5.4,125.76,16.71,276.12,17.37,1.11,6.55,2014,Enero
12,Financiera.Nueva.Visión.,5.86,520,1.13,0,14.07,51.94,99.89,28.55,5.87,172.71,15.37,31.01,11.04,-0.07,-0.46,2014,Enero
13,Total Empresas Financieras,5.41,586,1.2,6018.52,12.98,59.02,95.12,26.7,7.13,149.66,17.72,67.6,30.99,1.89,12.69,2014,Enero
14,CrediScotia,7.76,942,2.12,22774.9,12.52,49.82,88.57,27.26,8.39,159.86,17.26,102.49,28.67,2.17,14.95,2014,Febrero
15,TFC,5.18,741,4.96,15488.7,13.26,123.01,94.64,22.23,6.11,92.28,13.43,47.21,50.04,-1.87,-11.93,2014,Febrero
16,Edyficar,4.13,587,0.36,7035.51,9.32,57.83,98.98,22.76,13.42,161.4,16.79,49.41,39.76,3.61,36.92,2014,Febrero
17,Compartamos Financiera,5.41,456,0.41,3089.56,13.68,63.61,100,29.59,8.9,130.14,13.9,53.43,15.55,2.28,18.12,2014,Febrero
18,Confianza,3.11,569,0.88,5576.37,14.35,76.96,96.17,25.9,6.97,145.03,16.93,58.08,28.6,-0.01,-0.04,2014,Febrero
19,Financiera Efectiva,4.12,254,0,854.53,26.5,59.27,98.39,54.48,4.71,213.19,18.18,0,41.77,5.41,21.94,2014,Febrero
