"","variable","Créditos Atrasados / Créditos Directos","Créditos Refinanciados y Reestructurados / Créditos Directos","Gastos de Operación / Margen Financiero Total","Periodo","mes","mes2"
"1","BBVA",1.29,0.73,29.72,"2009","Enero","2009-01-31"
"2","B. del Comercio",2.04,0.81,65.24,"2009","Enero","2009-01-31"
"3","BCP",0.77,0.42,35.25,"2009","Enero","2009-01-31"
"4","B. Financiera",2.56,1.82,62.78,"2009","Enero","2009-01-31"
"5","BIF",1.11,0.88,56.73,"2009","Enero","2009-01-31"
"6","Scotiabank",1.99,2.21,36.07,"2009","Enero","2009-01-31"
"7","Citibank",1.86,0.67,56.02,"2009","Enero","2009-01-31"
"8","Interbank",1.25,1.02,50.23,"2009","Enero","2009-01-31"
"9","Mibanco",2.04,0.64,49.96,"2009","Enero","2009-01-31"
"10","GNB",0.58,0,133.82,"2009","Enero","2009-01-31"
"11","Falabella",3.6,3.71,39.55,"2009","Enero","2009-01-31"
"12","Santander",0.41,0,219.35,"2009","Enero","2009-01-31"
"13","Ripley",4.68,1.72,50.61,"2009","Enero","2009-01-31"
"14","Azteca",5.28,0,91.68,"2009","Enero","2009-01-31"
"15","Deutsche",0,0,35.27,"2009","Enero","2009-01-31"
"16","Total Banca",1.34,0.96,40.38,"2009","Enero","2009-01-31"
"17","BBVA",1.28,0.74,30.79,"2009","Febrero","2009-02-28"
"18","B. del Comercio",1.96,1.08,69.1,"2009","Febrero","2009-02-28"
"19","BCP",0.87,0.42,34.2,"2009","Febrero","2009-02-28"
"20","B. Financiera",2.86,1.64,64.67,"2009","Febrero","2009-02-28"
"21","BIF",1.43,0.88,60.06,"2009","Febrero","2009-02-28"
"22","Scotiabank",2.13,2.23,38.93,"2009","Febrero","2009-02-28"
"23","Citibank",1.83,0.73,45.29,"2009","Febrero","2009-02-28"
"24","Interbank",1.34,1.04,51.24,"2009","Febrero","2009-02-28"
"25","Mibanco",2.1,0.66,51.81,"2009","Febrero","2009-02-28"
"26","GNB",0.66,0,130.63,"2009","Febrero","2009-02-28"
"27","Falabella",3.65,4.16,40.21,"2009","Febrero","2009-02-28"
"28","Santander",0.52,0,112.65,"2009","Febrero","2009-02-28"
"29","Ripley",5.13,1.75,47.61,"2009","Febrero","2009-02-28"
"30","Azteca",6.78,0,76.23,"2009","Febrero","2009-02-28"
"31","Deutsche",0,0,67.89,"2009","Febrero","2009-02-28"
"32","Total Banca",1.43,0.97,40.5,"2009","Febrero","2009-02-28"
"33","BBVA",0.97,0.76,31.91,"2009","Marzo","2009-03-31"
"34","B. del Comercio",1.97,1.17,66.94,"2009","Marzo","2009-03-31"
"35","BCP",1.04,0.43,42.16,"2009","Marzo","2009-03-31"
"36","B. Financiera",2.47,1.73,61.95,"2009","Marzo","2009-03-31"
"37","BIF",1.39,0.74,59.23,"2009","Marzo","2009-03-31"
"38","Scotiabank",1.99,2.19,40.25,"2009","Marzo","2009-03-31"
"39","Citibank",1.83,0.73,48.23,"2009","Marzo","2009-03-31"
"40","Interbank",1.47,1.04,52.52,"2009","Marzo","2009-03-31"
"41","Mibanco",2.32,0.66,49.98,"2009","Marzo","2009-03-31"
"42","GNB",0.73,0.01,125.68,"2009","Marzo","2009-03-31"
"43","Falabella",4.3,4.39,40.65,"2009","Marzo","2009-03-31"
"44","Santander",0.44,0,105.32,"2009","Marzo","2009-03-31"
"45","Ripley",4.73,1.73,44.5,"2009","Marzo","2009-03-31"
"46","Azteca",4.49,0,74.8,"2009","Marzo","2009-03-31"
"47","Deutsche",0,0,44.62,"2009","Marzo","2009-03-31"
"48","Total Banca",1.41,0.98,43.94,"2009","Marzo","2009-03-31"
"49","BBVA",1.1,0.77,29.54,"2009","Abril","2009-04-30"
"50","B. del Comercio",2.05,1.16,68.02,"2009","Abril","2009-04-30"
"51","BCP",1.15,0.43,46.5,"2009","Abril","2009-04-30"
"52","B. Financiera",2.74,1.68,62.44,"2009","Abril","2009-04-30"
"53","BIF",1.38,0.73,55.36,"2009","Abril","2009-04-30"
"54","Scotiabank",1.85,2.1,39.02,"2009","Abril","2009-04-30"
"55","Citibank",2.42,0.78,52.59,"2009","Abril","2009-04-30"
"56","Interbank",1.63,1.01,49.73,"2009","Abril","2009-04-30"
"57","Mibanco",2.55,0.65,48.73,"2009","Abril","2009-04-30"
"58","GNB",1.1,0.02,120.57,"2009","Abril","2009-04-30"
"59","Falabella",4.53,4.68,40.77,"2009","Abril","2009-04-30"
"60","Santander",0.45,0,101.31,"2009","Abril","2009-04-30"
"61","Ripley",5.57,1.71,45.61,"2009","Abril","2009-04-30"
"62","Azteca",6.4,0,73.07,"2009","Abril","2009-04-30"
"63","Deutsche",0,0,27.28,"2009","Abril","2009-04-30"
"64","Total Banca",1.52,0.97,44.09,"2009","Abril","2009-04-30"
"65","BBVA",1.18,0.8,28.84,"2009","Mayo","2009-05-31"
"66","B. del Comercio",2.17,1.12,67.34,"2009","Mayo","2009-05-31"
"67","BCP",1.16,0.46,45.65,"2009","Mayo","2009-05-31"
"68","B. Financiera",2.89,1.6,62.65,"2009","Mayo","2009-05-31"
"69","BIF",1.4,0.84,56.72,"2009","Mayo","2009-05-31"
"70","Scotiabank",1.97,2.08,39.05,"2009","Mayo","2009-05-31"
"71","Citibank",2.35,0.78,54.13,"2009","Mayo","2009-05-31"
"72","Interbank",1.54,0.97,49.01,"2009","Mayo","2009-05-31"
"73","Mibanco",2.82,0.67,47.81,"2009","Mayo","2009-05-31"
"74","GNB",1.5,0.03,121.63,"2009","Mayo","2009-05-31"
"75","Falabella",4.83,5.04,40.61,"2009","Mayo","2009-05-31"
"76","Santander",0.46,0,108.97,"2009","Mayo","2009-05-31"
"77","Ripley",6.2,1.69,45.88,"2009","Mayo","2009-05-31"
"78","Azteca",5.65,0,71.96,"2009","Mayo","2009-05-31"
"79","Deutsche",0,0,32.9,"2009","Mayo","2009-05-31"
"80","Total Banca",1.58,0.98,43.66,"2009","Mayo","2009-05-31"
"81","BBVA",1.11,0.87,28.01,"2009","Junio","2009-06-30"
"82","B. del Comercio",1.98,1.31,67.38,"2009","Junio","2009-06-30"
"83","BCP",1.27,0.45,45.38,"2009","Junio","2009-06-30"
"84","B. Financiera",2.95,1.61,63.35,"2009","Junio","2009-06-30"
"85","BIF",1.1,0.85,56.01,"2009","Junio","2009-06-30"
"86","Scotiabank",2.03,2.11,39.34,"2009","Junio","2009-06-30"
"87","Citibank",2.68,0.75,53.44,"2009","Junio","2009-06-30"
"88","Interbank",1.71,0.98,49.26,"2009","Junio","2009-06-30"
"89","Mibanco",2.95,0.74,47.41,"2009","Junio","2009-06-30"
"90","GNB",1.41,0.36,120.64,"2009","Junio","2009-06-30"
"91","Falabella",5.15,5.24,40.95,"2009","Junio","2009-06-30"
"92","Santander",0.42,0,105.58,"2009","Junio","2009-06-30"
"93","Ripley",5.56,1.87,44.32,"2009","Junio","2009-06-30"
"94","Azteca",6.16,0,71.65,"2009","Junio","2009-06-30"
"95","Deutsche",0,0,36.94,"2009","Junio","2009-06-30"
"96","Total Banca",1.62,1,43.37,"2009","Junio","2009-06-30"
"97","BBVA",1.17,1,28.28,"2009","Julio","2009-07-31"
"98","B. del Comercio",2.38,1.23,66.89,"2009","Julio","2009-07-31"
"99","BCP",1.33,0.45,45.58,"2009","Julio","2009-07-31"
"100","B. Financiera",3.17,1.73,63.89,"2009","Julio","2009-07-31"
"101","BIF",1.06,0.86,55.86,"2009","Julio","2009-07-31"
"102","Scotiabank",1.92,2.1,38.51,"2009","Julio","2009-07-31"
"103","Citibank",2.95,0.77,54.45,"2009","Julio","2009-07-31"
"104","Interbank",1.67,0.96,48.39,"2009","Julio","2009-07-31"
"105","Mibanco",3.12,0.94,46.95,"2009","Julio","2009-07-31"
"106","GNB",1.61,0.03,123.25,"2009","Julio","2009-07-31"
"107","Falabella",5.39,5.54,40.97,"2009","Julio","2009-07-31"
"108","Santander",0.43,0,99.45,"2009","Julio","2009-07-31"
"109","Ripley",3.9,2.04,45.05,"2009","Julio","2009-07-31"
"110","Azteca",8.15,0,71.42,"2009","Julio","2009-07-31"
"111","Deutsche",0,0,40.7,"2009","Julio","2009-07-31"
"112","Total Banca",1.64,1.04,43.34,"2009","Julio","2009-07-31"
"113","BBVA",1.34,1.05,28.73,"2009","Agosto","2009-08-31"
"114","B. del Comercio",2.45,1.16,66.25,"2009","Agosto","2009-08-31"
"115","BCP",1.33,0.45,45.9,"2009","Agosto","2009-08-31"
"116","B. Financiera",3.2,1.79,64.2,"2009","Agosto","2009-08-31"
"117","BIF",1.31,0.81,55.56,"2009","Agosto","2009-08-31"
"118","Scotiabank",1.95,2.1,38.45,"2009","Agosto","2009-08-31"
"119","Citibank",2.84,0.79,54.63,"2009","Agosto","2009-08-31"
"120","Interbank",1.68,0.91,48.53,"2009","Agosto","2009-08-31"
"121","Mibanco",3.21,1.09,46.43,"2009","Agosto","2009-08-31"
"122","GNB",1.49,0.32,121.69,"2009","Agosto","2009-08-31"
"123","Falabella",5.26,5.74,41.06,"2009","Agosto","2009-08-31"
"124","Santander",0.4,0,95.42,"2009","Agosto","2009-08-31"
"125","Ripley",3.75,2.13,44.85,"2009","Agosto","2009-08-31"
"126","Azteca",7.52,0,70.22,"2009","Agosto","2009-08-31"
"127","Deutsche",0,0,42.58,"2009","Agosto","2009-08-31"
"128","Total Banca",1.69,1.05,43.57,"2009","Agosto","2009-08-31"
"129","BBVA",0.97,1.16,29.47,"2009","Septiembre","2009-09-30"
"130","B. del Comercio",2.34,0.99,66.15,"2009","Septiembre","2009-09-30"
"131","BCP",1.43,0.48,46.39,"2009","Septiembre","2009-09-30"
"132","B. Financiera",2.87,1.68,64.8,"2009","Septiembre","2009-09-30"
"133","BIF",1.26,0.84,54.97,"2009","Septiembre","2009-09-30"
"134","Scotiabank",1.73,2.29,38.49,"2009","Septiembre","2009-09-30"
"135","Citibank",2.44,0.79,55.75,"2009","Septiembre","2009-09-30"
"136","Interbank",1.56,0.92,47.26,"2009","Septiembre","2009-09-30"
"137","Mibanco",3.35,1.22,46.11,"2009","Septiembre","2009-09-30"
"138","GNB",1.59,0.38,118.01,"2009","Septiembre","2009-09-30"
"139","Falabella",4.66,5.84,41.31,"2009","Septiembre","2009-09-30"
"140","Santander",0.38,0,94.79,"2009","Septiembre","2009-09-30"
"141","Ripley",4.49,2.11,44.89,"2009","Septiembre","2009-09-30"
"142","Azteca",6.9,0,67.21,"2009","Septiembre","2009-09-30"
"143","Deutsche",0,0,43.73,"2009","Septiembre","2009-09-30"
"144","Total Banca",1.58,1.12,43.72,"2009","Septiembre","2009-09-30"
"145","BBVA",1.01,1.24,30.08,"2009","Octubre","2009-10-31"
"146","B. del Comercio",2.61,0.96,66,"2009","Octubre","2009-10-31"
"147","BCP",1.51,0.48,46.11,"2009","Octubre","2009-10-31"
"148","B. Financiera",2.91,1.7,66.45,"2009","Octubre","2009-10-31"
"149","BIF",1.07,0.85,54.63,"2009","Octubre","2009-10-31"
"150","Scotiabank",1.75,2.28,37.67,"2009","Octubre","2009-10-31"
"151","Citibank",2.58,0.8,56.16,"2009","Octubre","2009-10-31"
"152","Interbank",1.58,0.89,47.09,"2009","Octubre","2009-10-31"
"153","Mibanco",3.35,1.42,45.67,"2009","Octubre","2009-10-31"
"154","GNB",1.68,0.41,117.81,"2009","Octubre","2009-10-31"
"155","Falabella",4.29,5.88,41.32,"2009","Octubre","2009-10-31"
"156","Santander",0.37,0,93.37,"2009","Octubre","2009-10-31"
"157","Ripley",5.39,2.04,45.6,"2009","Octubre","2009-10-31"
"158","Azteca",7.37,0,65.42,"2009","Octubre","2009-10-31"
"159","Deutsche",0,0,42.91,"2009","Octubre","2009-10-31"
"160","Total Banca",1.63,1.13,43.68,"2009","Octubre","2009-10-31"
"161","BBVA",1.01,1.33,30.76,"2009","Noviembre","2009-11-30"
"162","B. del Comercio",2.81,0.87,66.14,"2009","Noviembre","2009-11-30"
"163","BCP",1.52,0.47,46.45,"2009","Noviembre","2009-11-30"
"164","B. Financiera",2.9,1.87,66.96,"2009","Noviembre","2009-11-30"
"165","BIF",1.11,0.79,55.43,"2009","Noviembre","2009-11-30"
"166","Scotiabank",1.69,2.22,37.47,"2009","Noviembre","2009-11-30"
"167","Citibank",2.71,0.81,57.04,"2009","Noviembre","2009-11-30"
"168","Interbank",1.6,0.9,47.38,"2009","Noviembre","2009-11-30"
"169","Mibanco",3.29,1.52,45.27,"2009","Noviembre","2009-11-30"
"170","GNB",1.55,0.84,115.87,"2009","Noviembre","2009-11-30"
"171","Falabella",4.03,5.85,41.77,"2009","Noviembre","2009-11-30"
"172","Santander",0.33,0,91.96,"2009","Noviembre","2009-11-30"
"173","Ripley",5.2,1.85,46.15,"2009","Noviembre","2009-11-30"
"174","Azteca",7.14,0,64.51,"2009","Noviembre","2009-11-30"
"175","Deutsche",0,0,40.98,"2009","Noviembre","2009-11-30"
"176","Total Banca",1.62,1.15,43.99,"2009","Noviembre","2009-11-30"
"177","BBVA",1.04,1.35,31.45,"2009","Diciembre","2009-12-31"
"178","B. del Comercio",2.38,1.49,65.41,"2009","Diciembre","2009-12-31"
"179","BCP",1.41,0.47,46.94,"2009","Diciembre","2009-12-31"
"180","B. Financiera",2.48,1.71,67.37,"2009","Diciembre","2009-12-31"
"181","BIF",0.83,0.87,55.56,"2009","Diciembre","2009-12-31"
"182","Scotiabank",1.69,2.18,37.28,"2009","Diciembre","2009-12-31"
"183","Citibank",2.75,0.92,57.45,"2009","Diciembre","2009-12-31"
"184","Interbank",1.49,0.94,46.91,"2009","Diciembre","2009-12-31"
"185","Mibanco",3.38,1.58,44.97,"2009","Diciembre","2009-12-31"
"186","GNB",1.76,0.79,117.69,"2009","Diciembre","2009-12-31"
"187","Falabella",3.73,5.56,41.84,"2009","Diciembre","2009-12-31"
"188","Santander",0.3,0,92.78,"2009","Diciembre","2009-12-31"
"189","Ripley",5.29,1.68,49.67,"2009","Diciembre","2009-12-31"
"190","Azteca",6.95,0,63.8,"2009","Diciembre","2009-12-31"
"191","Deutsche",0,0,39.84,"2009","Diciembre","2009-12-31"
"192","Total Banca",1.56,1.15,44.3,"2009","Diciembre","2009-12-31"
"193","BBVA",1.27,1.33,33.48,"2010","Enero","2010-01-31"
"194","B. del Comercio",2.63,1.42,65.16,"2010","Enero","2010-01-31"
"195","BCP",1.45,0.47,44.19,"2010","Enero","2010-01-31"
"196","B. Financiera",2.73,1.86,61.17,"2010","Enero","2010-01-31"
"197","BIF",0.85,0.85,58.84,"2010","Enero","2010-01-31"
"198","Scotiabank",1.71,2.21,33.53,"2010","Enero","2010-01-31"
"199","Citibank",3.06,0.93,63.19,"2010","Enero","2010-01-31"
"200","Interbank",1.55,0.9,46.35,"2010","Enero","2010-01-31"
"201","Mibanco",3.49,1.99,41.03,"2010","Enero","2010-01-31"
"202","GNB",1.85,0.84,106.56,"2010","Enero","2010-01-31"
"203","Falabella",4.04,5.44,41.66,"2010","Enero","2010-01-31"
"204","Santander",0.31,0,68.76,"2010","Enero","2010-01-31"
"205","Ripley",5.63,1.76,52.12,"2010","Enero","2010-01-31"
"206","Azteca",8.33,0,44.85,"2010","Enero","2010-01-31"
"207","Deutsche",0,0,99.58,"2010","Enero","2010-01-31"
"208","Total Banca",1.66,1.16,43.19,"2010","Enero","2010-01-31"
"209","BBVA",1.28,1.43,33.6,"2010","Febrero","2010-02-28"
"210","B. del Comercio",2.23,1.17,67.67,"2010","Febrero","2010-02-28"
"211","BCP",1.5,0.46,48.43,"2010","Febrero","2010-02-28"
"212","B. Financiera",2.73,1.89,61.54,"2010","Febrero","2010-02-28"
"213","BIF",0.9,0.85,61.24,"2010","Febrero","2010-02-28"
"214","Scotiabank",1.68,2.19,35.14,"2010","Febrero","2010-02-28"
"215","Citibank",3.04,0.96,61.6,"2010","Febrero","2010-02-28"
"216","Interbank",1.58,0.88,47.05,"2010","Febrero","2010-02-28"
"217","Mibanco",3.41,2.73,43.04,"2010","Febrero","2010-02-28"
"218","GNB",1.85,0.84,119.64,"2010","Febrero","2010-02-28"
"219","Falabella",3.58,5.26,41.44,"2010","Febrero","2010-02-28"
"220","Santander",0.32,0,70.01,"2010","Febrero","2010-02-28"
"221","Ripley",5.68,1.79,52.28,"2010","Febrero","2010-02-28"
"222","Azteca",7.86,0,47.91,"2010","Febrero","2010-02-28"
"223","Deutsche",0,0,108.29,"2010","Febrero","2010-02-28"
"224","Total Banca",1.67,1.19,45.06,"2010","Febrero","2010-02-28"
"225","BBVA",1.18,1.46,32.33,"2010","Marzo","2010-03-31"
"226","B. del Comercio",2.21,1.17,64.58,"2010","Marzo","2010-03-31"
"227","BCP",1.61,0.48,48.71,"2010","Marzo","2010-03-31"
"228","B. Financiera",2.68,1.71,59.82,"2010","Marzo","2010-03-31"
"229","BIF",0.98,1.51,59.88,"2010","Marzo","2010-03-31"
"230","Scotiabank",1.66,2.17,36.09,"2010","Marzo","2010-03-31"
"231","Citibank",5.17,0.97,58.39,"2010","Marzo","2010-03-31"
"232","Interbank",1.58,0.91,47.13,"2010","Marzo","2010-03-31"
"233","Mibanco",3.35,2.97,42.81,"2010","Marzo","2010-03-31"
"234","GNB",2.01,0.8,108.16,"2010","Marzo","2010-03-31"
"235","Falabella",4.01,4.83,41.68,"2010","Marzo","2010-03-31"
"236","Santander",0.34,0,65.45,"2010","Marzo","2010-03-31"
"237","Ripley",5.63,1.79,51.25,"2010","Marzo","2010-03-31"
"238","Azteca",9.13,0,49.08,"2010","Marzo","2010-03-31"
"239","Deutsche",0,0,66.86,"2010","Marzo","2010-03-31"
"240","Total Banca",1.73,1.24,44.68,"2010","Marzo","2010-03-31"
"241","BBVA",1.27,1.48,32.68,"2010","Abril","2010-04-30"
"242","B. del Comercio",1.88,1.38,64.32,"2010","Abril","2010-04-30"
"243","BCP",1.65,0.5,44.48,"2010","Abril","2010-04-30"
"244","B. Financiera",2.66,1.67,60.43,"2010","Abril","2010-04-30"
"245","BIF",0.98,1.48,57.86,"2010","Abril","2010-04-30"
"246","Scotiabank",1.62,2.12,36.69,"2010","Abril","2010-04-30"
"247","Citibank",3.07,1.24,58.34,"2010","Abril","2010-04-30"
"248","Interbank",1.62,0.9,47.69,"2010","Abril","2010-04-30"
"249","Mibanco",3.34,2.98,43.43,"2010","Abril","2010-04-30"
"250","GNB",1.77,0.8,108.62,"2010","Abril","2010-04-30"
"251","Falabella",3.77,4.58,41.8,"2010","Abril","2010-04-30"
"252","Santander",0.31,0,64.82,"2010","Abril","2010-04-30"
"253","Ripley",6.06,1.79,52.57,"2010","Abril","2010-04-30"
"254","Azteca",11.14,0,54,"2010","Abril","2010-04-30"
"255","Deutsche",0,0,68.48,"2010","Abril","2010-04-30"
"256","Total Banca",1.72,1.24,43.94,"2010","Abril","2010-04-30"
"257","BBVA",1.34,1.35,32.84,"2010","Mayo","2010-05-31"
"258","B. del Comercio",2.03,1.33,65.26,"2010","Mayo","2010-05-31"
"259","BCP",1.55,0.54,43.81,"2010","Mayo","2010-05-31"
"260","B. Financiera",2.81,1.63,59.55,"2010","Mayo","2010-05-31"
"261","BIF",1.26,1.45,56.53,"2010","Mayo","2010-05-31"
"262","Scotiabank",1.68,2.08,37.59,"2010","Mayo","2010-05-31"
"263","Citibank",4.07,0.91,58.98,"2010","Mayo","2010-05-31"
"264","Interbank",1.68,0.89,47.99,"2010","Mayo","2010-05-31"
"265","Mibanco",3.3,2.98,44.04,"2010","Mayo","2010-05-31"
"266","GNB",2.09,0.74,104.77,"2010","Mayo","2010-05-31"
"267","Falabella",3.86,4.17,41.8,"2010","Mayo","2010-05-31"
"268","Santander",0.28,0,65.74,"2010","Mayo","2010-05-31"
"269","Ripley",5.83,1.66,52.77,"2010","Mayo","2010-05-31"
"270","Azteca",12.48,0,55.27,"2010","Mayo","2010-05-31"
"271","Deutsche",0,0,76.15,"2010","Mayo","2010-05-31"
"272","Total Banca",1.76,1.2,43.99,"2010","Mayo","2010-05-31"
"273","BBVA",1.16,1.45,32.97,"2010","Junio","2010-06-30"
"274","B. del Comercio",2.08,1.31,64.34,"2010","Junio","2010-06-30"
"275","BCP",1.5,0.56,43.48,"2010","Junio","2010-06-30"
"276","B. Financiera",2.78,1.65,56.22,"2010","Junio","2010-06-30"
"277","BIF",1.08,1.23,56.68,"2010","Junio","2010-06-30"
"278","Scotiabank",1.71,2.02,38.34,"2010","Junio","2010-06-30"
"279","Citibank",3.56,0.93,60.49,"2010","Junio","2010-06-30"
"280","Interbank",1.59,0.88,48.23,"2010","Junio","2010-06-30"
"281","Mibanco",3.3,2.98,44.6,"2010","Junio","2010-06-30"
"282","GNB",2.36,0.66,101.26,"2010","Junio","2010-06-30"
"283","Falabella",3.84,3.93,42.08,"2010","Junio","2010-06-30"
"284","Santander",0.26,0,69.6,"2010","Junio","2010-06-30"
"285","Ripley",4.43,1.6,53.37,"2010","Junio","2010-06-30"
"286","Azteca",9.78,0,56.54,"2010","Junio","2010-06-30"
"287","Deutsche",0,0,74.97,"2010","Junio","2010-06-30"
"288","Total Banca",1.66,1.21,44.11,"2010","Junio","2010-06-30"
"289","BBVA",1.4,1.41,32.85,"2010","Julio","2010-07-31"
"290","B. del Comercio",2.47,1.45,63.11,"2010","Julio","2010-07-31"
"291","BCP",1.64,0.51,43.01,"2010","Julio","2010-07-31"
"292","B. Financiera",3.43,1.55,56.82,"2010","Julio","2010-07-31"
"293","BIF",0.95,1.26,57.02,"2010","Julio","2010-07-31"
"294","Scotiabank",1.64,1.79,39.07,"2010","Julio","2010-07-31"
"295","Citibank",5.25,0.91,59.58,"2010","Julio","2010-07-31"
"296","Interbank",1.73,0.86,48.22,"2010","Julio","2010-07-31"
"297","Mibanco",3.3,2.97,44.76,"2010","Julio","2010-07-31"
"298","GNB",2.16,0.61,98.15,"2010","Julio","2010-07-31"
"299","Falabella",3.75,3.87,42,"2010","Julio","2010-07-31"
"300","Santander",0.27,0,68.07,"2010","Julio","2010-07-31"
"301","Ripley",4.08,1.66,53.48,"2010","Julio","2010-07-31"
"302","Azteca",9.93,0,56.96,"2010","Julio","2010-07-31"
"303","Deutsche",0,0,70.63,"2010","Julio","2010-07-31"
"304","Total Banca",1.81,1.15,44.01,"2010","Julio","2010-07-31"
"305","BBVA",1.42,1.41,32.49,"2010","Agosto","2010-08-31"
"306","B. del Comercio",2.49,1.17,62.09,"2010","Agosto","2010-08-31"
"307","BCP",1.65,0.5,42.29,"2010","Agosto","2010-08-31"
"308","B. Financiera",3.41,1.49,56.78,"2010","Agosto","2010-08-31"
"309","BIF",1.04,1.51,57.68,"2010","Agosto","2010-08-31"
"310","Scotiabank",1.56,1.75,39.79,"2010","Agosto","2010-08-31"
"311","Citibank",2.79,3.59,60.29,"2010","Agosto","2010-08-31"
"312","Interbank",1.61,0.85,47.14,"2010","Agosto","2010-08-31"
"313","Mibanco",3.3,2.98,45.21,"2010","Agosto","2010-08-31"
"314","GNB",2.54,0.59,96.84,"2010","Agosto","2010-08-31"
"315","Falabella",3.51,3.79,42.55,"2010","Agosto","2010-08-31"
"316","Santander",0.25,0,70.52,"2010","Agosto","2010-08-31"
"317","Ripley",4.04,1.74,54.27,"2010","Agosto","2010-08-31"
"318","Azteca",11.06,0,58.19,"2010","Agosto","2010-08-31"
"319","Deutsche",0,0,60.21,"2010","Agosto","2010-08-31"
"320","Total Banca",1.75,1.19,43.75,"2010","Agosto","2010-08-31"
"321","BBVA",1.26,1.37,32.71,"2010","Septiembre","2010-09-30"
"322","B. del Comercio",2.33,1.35,61.85,"2010","Septiembre","2010-09-30"
"323","BCP",1.49,0.53,42.04,"2010","Septiembre","2010-09-30"
