"","variables","R. Cr�dito","R. Mercado","R. Operacional","Total","Patrimonio Efectivo","R. Capital Global","Periodo","Mes","Fecha"
"1","B. Continental",3645034.93,67216.63,152173.28,3864424.84,4848169.16,12.55,"2013","Enero",2013-01-31
"2","B. de Comercio  ",134958.62,266.77,11469.06,146694.45,174421.54,11.89,"2013","Enero",2013-01-31
"3","B. de Crédito del Perú (con sucursales en el exterior)",5599030.86,219690.63,318203.84,6136925.33,8899346.92,14.5,"2013","Enero",2013-01-31
"4","B. Financiero",430053.5,6475.96,33515.69,470045.15,579673.93,12.33,"2013","Enero",2013-01-31
"5","B. Interamericano de Finanzas",521510.96,6688.24,26179.5,554378.7,686548.84,12.38,"2013","Enero",2013-01-31
"6","Scotiabank Perú (con sucursales en el exterior)",2417908.44,32875.5,111193.59,2561977.53,4016672.62,15.68,"2013","Enero",2013-01-31
"7","Citibank",307546.64,41875.4,36233.86,385655.9,571089.93,14.8083,"2013","Enero",2013-01-31
"8","Interbank (con sucursales en el exterior)",2016871.28,13475.15,87680.96,2118027.39,2949166.14,13.92,"2013","Enero",2013-01-31
"9","Mibanco",470068.05,1950.5,15886.19,487904.74,699354.1,14.33,"2013","Enero",2013-01-31
"10","HSBC Bank Perú",257339.13,4395.7,18069.33,279804.16,482478.51,17.24,"2013","Enero",2013-01-31
"11","B. Falabella Perú ",231172.14,745.2,47320.59,279237.93,410249.64,14.69,"2013","Enero",2013-01-31
"12","B. Santander Perú",183812.74,6697.25,4752.74,195262.73,306776.16,15.71,"2013","Enero",2013-01-31
"13","B. Ripley",109299.14,25.7,12301.82,121626.66,189401.07,15.57,"2013","Enero",2013-01-31
"14","B. Azteca Perú",53096.46,32.75,13282.3,66411.51,92549.64,13.94,"2013","Enero",2013-01-31
"15","Deutsche Bank Perú",68933.68,4360.83,3306.19,76600.7,134215.61,17.52,"2013","Enero",2013-01-31
"16","B. Cencosud",19100.21,170.57,808.43,20079.21,34872.46,17.37,"2013","Enero",2013-01-31
"17"," TOTAL BANCA MÚLTIPLE",16465736.78,406942.78,892377.37,17765056.93,25074986.27,14.1148,"2013","Enero",2013-01-31
"18","B. Continental",3650345.23,95262.41,154897.48,3900505.12,4835895.55,12.4,"2013","Febrero",2013-02-28
"19","B. de Comercio  ",134782.3,667.26,11542.82,146992.38,179196.3,12.19,"2013","Febrero",2013-02-28
"20","B. de Crédito del Perú (con sucursales en el exterior)",5674795.99,255008.43,322452.89,6252257.31,8875611.07,14.2,"2013","Febrero",2013-02-28
"21","B. Financiero",419983.5,5667.99,34099.83,459751.32,578831.87,12.59,"2013","Febrero",2013-02-28
"22","B. Interamericano de Finanzas",535600.42,6605.63,26534.09,568740.14,691263.2,12.15,"2013","Febrero",2013-02-28
"23","Scotiabank Perú (con sucursales en el exterior)",2438824.21,26739.09,112426.2,2577989.5,4013318.93,15.57,"2013","Febrero",2013-02-28
"24","Citibank",295967.41,39156.8,36428.32,371552.53,569637.45,15.3313,"2013","Febrero",2013-02-28
"25","Interbank (con sucursales en el exterior)",2054396.4,21685.07,88794.42,2164875.89,2952119.59,13.64,"2013","Febrero",2013-02-28
"26","Mibanco",470915.87,884.18,16021.2,487821.25,695847.1,14.26,"2013","Febrero",2013-02-28
"27","HSBC Bank Perú",253366.53,4295.66,18186.31,275848.5,482185.08,17.48,"2013","Febrero",2013-02-28
"28","B. Falabella Perú ",233895.68,84.81,47858.82,281839.31,410453.34,14.56,"2013","Febrero",2013-02-28
"29","B. Santander Perú",182295.79,3606.67,4838.89,190741.35,306735.33,16.08,"2013","Febrero",2013-02-28
"30","B. Ripley",104339.91,454.25,12379.07,117173.23,188780.85,16.11,"2013","Febrero",2013-02-28
"31","B. Azteca Perú",54084.45,29.66,13528.52,67642.63,92568.02,13.68,"2013","Febrero",2013-02-28
"32","Deutsche Bank Perú",58690.11,2845.61,3373.86,64909.58,134215.61,20.68,"2013","Febrero",2013-02-28
"33","B. Cencosud",19658.36,198.56,1496.61,21353.53,112181.97,52.54,"2013","Febrero",2013-02-28
"34"," TOTAL BANCA MÚLTIPLE",16581942.16,463192.08,904859.33,17949993.57,25118841.26,13.9938,"2013","Febrero",2013-02-28
"35","B. Continental",3715912.95,78453.56,156324.1,3950690.61,5072801.15,12.84,"2013","Marzo",2013-03-31
"36","B. de Comercio  ",140394.58,312.35,11563.44,152270.37,183582.16,12.06,"2013","Marzo",2013-03-31
"37","B. de Crédito del Perú (con sucursales en el exterior)",5722993.39,295987.57,326468.83,6345449.79,9294466.08,14.65,"2013","Marzo",2013-03-31
"38","B. Financiero",472152.56,6334.87,34398.86,512886.29,624921.66,12.18,"2013","Marzo",2013-03-31
"39","B. Interamericano de Finanzas",545531.99,6476.31,26890.58,578898.88,695184.53,12.01,"2013","Marzo",2013-03-31
"40","Scotiabank Perú (con sucursales en el exterior)",2500543.32,26046.78,113370.13,2639960.23,4194353.53,15.89,"2013","Marzo",2013-03-31
"41","Citibank",303833.95,19098.6,36611.2,359543.75,578503.97,16.0899,"2013","Marzo",2013-03-31
"42","Interbank (con sucursales en el exterior)",2015355.73,11246.06,89570.62,2116172.41,3181695.37,15.04,"2013","Marzo",2013-03-31
"43","Mibanco",467185.84,1304.51,16136.05,484626.4,742791.85,15.33,"2013","Marzo",2013-03-31
"44","HSBC Bank Perú",256205.3,4863.83,18294.27,279363.4,482612.08,17.28,"2013","Marzo",2013-03-31
